,y,x,street_count,highway,ref
702352971,-37.8071525,144.9440798,4,,
702352972,-37.8071963,144.9441776,4,,
702354038,-37.8061001,144.942887,3,,
702354049,-37.8057835,144.9429302,3,,
702354055,-37.8057953,144.9430277,3,,
702354305,-37.8064921,144.9428107,3,,
702354384,-37.8079675,144.9459263,4,,
702354385,-37.8080047,144.9460653,3,,
702354813,-37.8070845,144.9424458,1,,
702354815,-37.8064985,144.9419815,3,,
702363497,-37.8063149,144.9420464,4,,
702372647,-37.806166,144.9417593,2,,
702375239,-37.8069056,144.9427495,3,,
702375968,-37.8074173,144.942908,3,,
702460953,-37.8052138,144.9493225,4,,
702463816,-37.8057874,144.9492437,3,,
702465424,-37.8050994,144.9492306,4,,
703554589,-37.8092036,144.9565382,3,,
703554591,-37.8090904,144.9555118,3,,
703557084,-37.8061846,144.9539388,3,,
709709814,-37.8132773,144.9437004,3,,
710048745,-37.8132028,144.9500172,3,,
710049084,-37.8134643,144.9501917,3,,
711331836,-37.8067539,144.9582222,1,,
711333571,-37.8063681,144.9581415,1,,
736011483,-37.8246789,144.9705324,3,,
741702052,-37.8157477,144.9735102,3,,
741702104,-37.8155916,144.974058,3,,
741702223,-37.8160306,144.9725032,4,,
741702228,-37.8167927,144.969961,4,,
758613567,-37.8214382,144.9449349,3,,
758615171,-37.8219534,144.9436159,1,,
767583050,-37.8083801,144.9717513,3,,
767583089,-37.8079522,144.9718874,3,,
767584383,-37.8080634,144.9688027,4,,
767584755,-37.807124,144.9507753,3,,
767584756,-37.8072166,144.9508587,3,,
767584876,-37.808094,144.9730649,4,,
767584894,-37.8077222,144.973141,4,,
767586831,-37.8091804,144.9728878,4,,
767587066,-37.8081138,144.9732436,4,,
767587073,-37.8091936,144.9730657,4,,
767587081,-37.8077522,144.9733147,4,,
767658128,-37.8067611,144.9733168,3,,
767670317,-37.8052437,144.9690899,4,,
767671059,-37.8051849,144.9685465,3,,
767729202,-37.8075748,144.9432615,3,,
767729251,-37.8084327,144.9454013,3,,
767737803,-37.8050872,144.9676227,4,,
767737811,-37.8051036,144.9677834,4,,
774508242,-37.8063184,144.9593917,5,,
774545099,-37.8060861,144.9583459,4,,
774546372,-37.8061863,144.9593811,4,,
774546374,-37.8062308,144.9596808,4,,
774546433,-37.8058171,144.9594945,3,,
775933250,-37.8059157,144.9591398,4,,
775933295,-37.8058854,144.9592483,4,,
775933297,-37.8058509,144.9593721,4,,
775933327,-37.8061015,144.9585153,3,,
775942450,-37.806433,144.9615085,4,traffic_signals,
775942452,-37.8065393,144.9613218,4,traffic_signals,
775942455,-37.8067581,144.9610755,3,,
777696327,-37.8059444,144.9571074,4,,
777697587,-37.8058318,144.9561057,4,,
777700831,-37.8059582,144.9560839,4,,
777701894,-37.8059261,144.955853,4,,
777703067,-37.8058058,144.9558722,4,,
777706218,-37.8058416,144.9552137,4,,
777710193,-37.805742,144.9552312,4,,
777721749,-37.8058236,144.9550756,4,,
777721838,-37.8057283,144.9550903,4,,
777759530,-37.8060724,144.957085,3,,
777765347,-37.8080835,144.958019,2,,
777771693,-37.806282,144.9601289,3,,
777774421,-37.8062198,144.9538074,4,,
777776726,-37.8055962,144.9505911,3,,
777781181,-37.8052379,144.9523212,3,,
777781264,-37.8052207,144.9521732,3,,
777788322,-37.8079405,144.9545824,3,,
777788326,-37.8070061,144.9541677,4,,
777788328,-37.8069131,144.9541266,4,,
777789012,-37.8061871,144.9551496,3,,
777795238,-37.8076461,144.9546008,3,,
780982646,-37.8051,144.9493421,4,,
801840602,-37.806295,144.9496845,4,,
827048477,-37.8192663,144.9501875,3,,
827048725,-37.8191543,144.9505999,1,,
844455902,-37.8209759,144.9473593,4,,
844456058,-37.8209247,144.9474935,4,,
844461911,-37.8210532,144.9475329,4,,
844462093,-37.8210876,144.9473821,4,,
844475994,-37.8222339,144.9478112,3,,
844481986,-37.8206123,144.9486018,4,,
844482225,-37.8210155,144.9490014,3,,
844482569,-37.8207211,144.9486816,4,,
844482981,-37.8206861,144.9487865,4,,
846547014,-37.8201861,144.9686095,4,,
846547082,-37.8201532,144.9687521,3,,
846548135,-37.8209931,144.9689301,3,,
846558917,-37.820589,144.9690251,3,,
846566368,-37.8233693,144.9700652,4,,
846566369,-37.8232832,144.970025,4,,
